,Name,Localization,Distance to center,Score,Experiences number,Links
569,Hotel Beauvoir,"5th arr., Paris",1.3 miles,8.6,"2,721 reviews",https://www.booking.com//hotel/fr/beauvoir.html?from=searchresults;#hotelTmpl
570,Mercure Paris Centre Tour Eiffel,"15th arr., Paris",2.7 miles,8.8,387 reviews,https://www.booking.com//hotel/fr/mercure-paris-suffren-tour-eiffel.html?from=searchresults;#hotelTmpl
571,Hotel - Restaurant Le Vert Galant,"13th arr., Paris",1.7 miles,7.7,"5,219 reviews",https://www.booking.com//hotel/fr/le-vert-galant-paris.html?from=searchresults;#hotelTmpl
572,Hôtel La Nouvelle République,"11th arr., Paris",1.5 miles,8.3,"1,154 reviews",https://www.booking.com//hotel/fr/la-nouvelle-republique.html?from=searchresults;#hotelTmpl
573,Paris Center Marais Family- AC - wifi,"4th arr., Paris","2,150 feet",9.0,439 reviews,https://www.booking.com//hotel/fr/marais-family.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
574,Private Apartment - Saint Germain - Pont Neuf,"6th arr., Paris","2,800 feet",7.7,"1,000 reviews",https://www.booking.com//hotel/fr/private-apartment-saint-germain-river-seine-188.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
575,The Blue House,"18th arr., Paris",2.4 miles,7.9,43 reviews,https://www.booking.com//hotel/fr/the-blue-house-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
576,57-LUXURY PARISIEN HOME SEBASTOPOL 1 (2G),"3rd arr., Paris",0.8 miles,7.9,91 reviews,https://www.booking.com//hotel/fr/57-luxury-parisien-home-sebastopol-1-2g.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
577,Hotel Le Basile,"9th arr., Paris",1.5 miles,8.5,"1,219 reviews",https://www.booking.com//hotel/fr/basile.html?from=searchresults;#hotelTmpl
578,Short Stay Apartment Museum View,"5th arr., Paris",1.1 miles,7.9,43 reviews,https://www.booking.com//hotel/fr/short-stay-appartement-museum-view.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
579,Hôtel du Palais Bourbon,"7th arr., Paris",1.6 miles,8.3,"1,045 reviews",https://www.booking.com//hotel/fr/du-palais-bourbon.html?from=searchresults;#hotelTmpl
580,Relais12bis B&B By Eiffel Tower,"15th arr., Paris",2.6 miles,7.1,"2,670 reviews",https://www.booking.com//hotel/fr/relais-12-bis.html?from=searchresults;#hotelTmpl
581,Mercure Paris Gare Montparnasse,"14th arr., Paris",1.7 miles,7.5,146 reviews,https://www.booking.com//hotel/fr/mercure-paris-montparnasse.html?from=searchresults;#hotelTmpl
582,Hotel Paris Bruxelles,"3rd arr., Paris",0.9 miles,8.5,"1,504 reviews",https://www.booking.com//hotel/fr/paris-bruxelles.html?from=searchresults;#hotelTmpl
583,Oops! Latin quarter by Hiphophostels,"13th arr., Paris",1.6 miles,8.8,482 reviews,https://www.booking.com//hotel/fr/oops-boutique-hostel.html?from=searchresults;#hotelTmpl
584,Saint Germain - Mabillon Apartment,"6th arr., Paris",0.7 miles,8.6,510 reviews,https://www.booking.com//hotel/fr/saint-germain-mabillon-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
585,Louvre Terrasse,"1st arr., Paris",0.7 miles,8.9,615 reviews,https://www.booking.com//hotel/fr/louvre-terrasse.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
586,Hôtel Des Mines,"5th arr., Paris",1.1 miles,8.2,232 reviews,https://www.booking.com//hotel/fr/hoteldesminesparis.html?from=searchresults;#hotelTmpl
587,Résidence Temple,"3rd arr., Paris",0.7 miles,9.2,55 reviews,https://www.booking.com//hotel/fr/short-stay-apartment-temple.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
588,Timhotel Berthier Paris 17,"17th arr., Paris",3.1 miles,8.5,"1,611 reviews",https://www.booking.com//hotel/fr/parisboulevardberthier.html?from=searchresults;#hotelTmpl
589,Le Cinq Codet,"7th arr., Paris",2 miles,8.0,568 reviews,https://www.booking.com//hotel/fr/le-cinq-codet.html?from=searchresults;#hotelTmpl
590,Sweet Inn - Temple,"3rd arr., Paris","2,300 feet",7.8,608 reviews,https://www.booking.com//hotel/fr/sweet-inn-apartment-temple-3.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
591,Hôtel De Venise,"12th arr., Paris",1.7 miles,7.8,660 reviews,https://www.booking.com//hotel/fr/de-venise.html?from=searchresults;#hotelTmpl
592,Hotel Des Arenes,"5th arr., Paris",0.8 miles,9.1,98 reviews,https://www.booking.com//hotel/fr/des-arenes.html?from=searchresults;#hotelTmpl
593,LUXURY 4 BEDROOM PARIS CENTER,"10th arr., Paris",1 miles,9.2,414 reviews,https://www.booking.com//hotel/fr/luxury-4-bedroom-paris-center.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
594,Hôtel Cordelia Opéra-Madeleine,"8th arr., Paris",1.6 miles,7.9,748 reviews,https://www.booking.com//hotel/fr/hotel-cordelia.html?from=searchresults;#hotelTmpl
595,Le Marais Apartments,"3rd arr., Paris",0.7 miles,8.1,232 reviews,https://www.booking.com//hotel/fr/marais-apartmnets.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
596,Montorgueil Studio - Petits Carreaux,"2nd arr., Paris",0.7 miles,8.9,321 reviews,https://www.booking.com//hotel/fr/montorgueil-studio-petits-carreaux.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
597,Best Western Plus Elysée Secret,"8th arr., Paris",2.1 miles,8.4,193 reviews,https://www.booking.com//hotel/fr/elysa-c-e-secret.html?from=searchresults;#hotelTmpl
598,Hotel Little Regina,"10th arr., Paris",1.4 miles,8.0,37 reviews,https://www.booking.com//hotel/fr/little-regina.html?from=searchresults;#hotelTmpl
599,Pratic Hotel,"4th arr., Paris","2,800 feet",8.6,666 reviews,https://www.booking.com//hotel/fr/pratic-paris.html?from=searchresults;#hotelTmpl
600,Palym,"12th arr., Paris",1.2 miles,8.0,"1,848 reviews",https://www.booking.com//hotel/fr/palym.html?from=searchresults;#hotelTmpl
601,Buddha-Bar Hotel Paris,"8th arr., Paris",1.7 miles,7.0,32 reviews,https://www.booking.com//hotel/fr/buddha-bar-ha-tel.html?from=searchresults;#hotelTmpl
602,Holiday Inn Paris Gare de l'Est,"10th arr., Paris",1.4 miles,7.3,174 reviews,https://www.booking.com//hotel/fr/mercure-terminus-est.html?from=searchresults;#hotelTmpl
603,Hôtel Paris Vaugirard,"15th arr., Paris",3.1 miles,8.1,34 reviews,https://www.booking.com//hotel/fr/terminus-vaugirard.html?from=searchresults;#hotelTmpl
604,Le Pavillon de la Reine & Spa,"3rd arr., Paris",0.7 miles,8.8,311 reviews,https://www.booking.com//hotel/fr/le-pavillon-de-la-reine.html?from=searchresults;#hotelTmpl
605,Hôtel Mimosa,"10th arr., Paris",0.9 miles,7.8,"1,513 reviews",https://www.booking.com//hotel/fr/ha-tel-mimosa.html?from=searchresults;#hotelTmpl
606,Monceau Apartment,"17th arr., Paris",2.6 miles,9.5,192 reviews,https://www.booking.com//hotel/fr/monceau-appartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
607,Dreamyflat - Haut marais,"11th arr., Paris",1.5 miles,8.1,"2,114 reviews",https://www.booking.com//hotel/fr/dreamyflat-haut-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
608,Turenne Le Marais,"4th arr., Paris","2,950 feet",8.0,83 reviews,https://www.booking.com//hotel/fr/turenne-le-marais.html?from=searchresults;#hotelTmpl
609,55-ATELIER MARILYN MONROE,"2nd arr., Paris",0.8 miles,8.7,432 reviews,https://www.booking.com//hotel/fr/55-atelier-marilyn-monroe.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
610,Hotel Les Théâtres,"2nd arr., Paris",0.9 miles,9.6,128 reviews,https://www.booking.com//hotel/fr/les-theatres.html?from=searchresults;#hotelTmpl
611,Hôtel Liège Strasbourg,"10th arr., Paris",1.2 miles,8.7,40 reviews,https://www.booking.com//hotel/fr/liege-strasbourg.html?from=searchresults;#hotelTmpl
612,Sweet Inn - Rue D'Enghien,"10th arr., Paris",1.1 miles,7.6,983 reviews,https://www.booking.com//hotel/fr/sweet-inn-apartments-rue-d-enghien.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
613,Hotel du Pré,"9th arr., Paris",1.5 miles,8.4,"1,754 reviews",https://www.booking.com//hotel/fr/hoteldupre.html?from=searchresults;#hotelTmpl
614,Le Relais Madeleine,"9th arr., Paris",1.5 miles,8.7,447 reviews,https://www.booking.com//hotel/fr/le-relais-madeleine.html?from=searchresults;#hotelTmpl
615,L'Empire Paris,"1st arr., Paris","2,600 feet",8.9,43 reviews,https://www.booking.com//hotel/fr/empire-paris.html?from=searchresults;#hotelTmpl
616,Hôtel De Lutece - Notre-Dame,"4th arr., Paris","1,800 feet",7.8,"1,369 reviews",https://www.booking.com//hotel/fr/de-lutece.html?from=searchresults;#hotelTmpl
617,W Paris - Opéra,"9th arr., Paris",1.4 miles,7.7,63 reviews,https://www.booking.com//hotel/fr/w-paris-opa-c-ra.html?from=searchresults;#hotelTmpl
618,lapetitemaisondeparis,"20th arr., Paris",2.2 miles,8.0,611 reviews,https://www.booking.com//hotel/fr/lapetitemaisondeparis.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
619,Hôtel Vendome Saint-Germain,"5th arr., Paris",0.7 miles,9.1,427 reviews,https://www.booking.com//hotel/fr/vendome-saint-germain-paris.html?from=searchresults;#hotelTmpl
620,Aparthotel Adagio Paris Opéra,"9th arr., Paris",1.6 miles,8.4,216 reviews,https://www.booking.com//hotel/fr/adagio-city-aparthotel-opera.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
621,Hotel Hippodrome,"18th arr., Paris",2.2 miles,7.8,"1,328 reviews",https://www.booking.com//hotel/fr/hippodrome.html?from=searchresults;#hotelTmpl
622,Villa Lutèce Port Royal,"13th arr., Paris",1.5 miles,8.1,855 reviews,https://www.booking.com//hotel/fr/lutece.html?from=searchresults;#hotelTmpl
623,My Nest Inn Paris Mouffetard,"5th arr., Paris",1 miles,8.1,"1,631 reviews",https://www.booking.com//hotel/fr/my-nest-inn-apartment-quartier-latin.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
624,Victoire & Germain,"6th arr., Paris",0.7 miles,8.7,911 reviews,https://www.booking.com//hotel/fr/victoire-amp-germain.html?from=searchresults;#hotelTmpl
625,Royal Hotel Paris Champs Elysées,"8th arr., Paris",2.6 miles,7.4,29 reviews,https://www.booking.com//hotel/fr/royalhotelparis.html?from=searchresults;#hotelTmpl
626,Hyatt Paris Madeleine,"8th arr., Paris",1.8 miles,8.2,"1,446 reviews",https://www.booking.com//hotel/fr/hyatt-paris-madeleine.html?from=searchresults;#hotelTmpl
627,Royal Madeleine Hotel & Spa,"8th arr., Paris",1.7 miles,8.3,"1,397 reviews",https://www.booking.com//hotel/fr/royal-madeleine-paris.html?from=searchresults;#hotelTmpl
628,Windsor Opera,"10th arr., Paris",1.2 miles,7.8,"1,079 reviews",https://www.booking.com//hotel/fr/windsor-opera.html?from=searchresults;#hotelTmpl
629,Bourgeois Family - AC - wifi,"4th arr., Paris","2,150 feet",9.3,5 reviews,https://www.booking.com//hotel/fr/bourgeois-suite-marais-2-bedroom.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
630,Résidence Capitaine Paoli,"10th arr., Paris",1.6 miles,7.6,"1,094 reviews",https://www.booking.com//hotel/fr/residence-capitaine-paoli.html?from=searchresults;#hotelTmpl
631,Hotel Audran,"18th arr., Paris",2.1 miles,9.2,"1,354 reviews",https://www.booking.com//hotel/fr/audran.html?from=searchresults;#hotelTmpl
632,42-LUXURY FLAT,"2nd arr., Paris",0.8 miles,8.9,"1,301 reviews",https://www.booking.com//hotel/fr/42-luxury-flat.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
633,Paris Marriott Opera Ambassador Hotel,"9th arr., Paris",1.3 miles,7.0,"2,541 reviews",https://www.booking.com//hotel/fr/paris-marriott-opera-ambassador-hotel.html?from=searchresults;#hotelTmpl
634,Dreamyflat - Louvre museum,"1st arr., Paris",0.8 miles,8.0,"1,574 reviews",https://www.booking.com//hotel/fr/dreamyflat-louvre-museum.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
635,Hôtel San Régis,"8th arr., Paris",2.1 miles,8.1,"1,442 reviews",https://www.booking.com//hotel/fr/ha-tel-san-ra-c-gis.html?from=searchresults;#hotelTmpl
636,Hotel Antin Trinité,"9th arr., Paris",1.5 miles,9.1,339 reviews,https://www.booking.com//hotel/fr/antin-trinite.html?from=searchresults;#hotelTmpl
637,Hôtel du Rond-Point - Esprit de France,"8th arr., Paris",2.1 miles,7.4,467 reviews,https://www.booking.com//hotel/fr/du-rond-point-des-champs-elysees.html?from=searchresults;#hotelTmpl
638,Le Relais du Marais,"3rd arr., Paris",0.8 miles,8.5,"1,347 reviews",https://www.booking.com//hotel/fr/le-relais-du-marais.html?from=searchresults;#hotelTmpl
639,Résidence Caire / Montorgueil,"2nd arr., Paris",0.8 miles,9.8,186 reviews,https://www.booking.com//hotel/fr/residence-caire.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
640,Le Rayz,"2nd arr., Paris",1.3 miles,8.9,538 reviews,https://www.booking.com//hotel/fr/rayz-private-suites.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
641,Paris Historic Marais Montorgueil,"2nd arr., Paris",0.7 miles,8.8,547 reviews,https://www.booking.com//hotel/fr/aflatinparis.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
642,Private Apartment - Le Bon Marché - Sèvres,"6th arr., Paris",1.6 miles,8.3,"1,859 reviews",https://www.booking.com//hotel/fr/private-apartment-le-bon-marche.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
643,Hotel du Lys,"6th arr., Paris","2,800 feet",9.5,60 reviews,https://www.booking.com//hotel/fr/du-lys.html?from=searchresults;#hotelTmpl
644,Hotel Royal Phare,"7th arr., Paris",2.1 miles,7.9,"3,400 reviews",https://www.booking.com//hotel/fr/royal-phare.html?from=searchresults;#hotelTmpl
645,Hôtel Bel Ami,"6th arr., Paris",0.9 miles,8.0,47 reviews,https://www.booking.com//hotel/fr/bel-ami.html?from=searchresults;#hotelTmpl
646,Chambre d hôte : Louvre Elegant Apt Suite,"1st arr., Paris",0.7 miles,7.4,372 reviews,https://www.booking.com//hotel/fr/paristay.html?from=searchresults;#hotelTmpl
647,Best Western Le Montmartre – Saint Pierre,"18th arr., Paris",1.9 miles,8.5,"2,420 reviews",https://www.booking.com//hotel/fr/comfort-paris-18eme-saint-pierre.html?from=searchresults;#hotelTmpl
648,Beautiful Javel apartment Paris,"15th arr., Paris",2.9 miles,8.2,72 reviews,https://www.booking.com//hotel/fr/beautiful-javel-apartment-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
649,Hotel Opéra d'Antin,"9th arr., Paris",1.5 miles,9.0,203 reviews,https://www.booking.com//hotel/fr/operadantinpari.html?from=searchresults;#hotelTmpl
650,Hôtel Alfred Sommier,"8th arr., Paris",1.6 miles,9.1,483 reviews,https://www.booking.com//hotel/fr/alfred-sommier.html?from=searchresults;#hotelTmpl
651,Villa Saint-Honoré,"8th arr., Paris",2.3 miles,8.5,"1,013 reviews",https://www.booking.com//hotel/fr/villa-saint-honore-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
652,Hotel des Vosges,"20th arr., Paris",1.6 miles,7.7,822 reviews,https://www.booking.com//hotel/fr/des-vosges-paris.html?from=searchresults;#hotelTmpl
653,Hotel Duminy-Vendome,"1st arr., Paris",1.2 miles,7.8,"1,851 reviews",https://www.booking.com//hotel/fr/duminy-vendome.html?from=searchresults;#hotelTmpl
654,Kyriad Paris 18 - Porte de Clignancourt - Montmartre,"18th arr., Paris",2.8 miles,8.5,418 reviews,https://www.booking.com//hotel/fr/kyriad-paris-18-porte-de-clignancourt-montmartre-xml.html?from=searchresults;#hotelTmpl
655,Rochester Champs Elysees,"8th arr., Paris",2.2 miles,9.2,178 reviews,https://www.booking.com//hotel/fr/rochester-champs-elysees.html?from=searchresults;#hotelTmpl
656,Sweet Inn - Aboukir,"2nd arr., Paris",0.8 miles,7.8,"1,071 reviews",https://www.booking.com//hotel/fr/aboukir.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
657,Fraser Suites Le Claridge Champs-Elysées,"8th arr., Paris",2.3 miles,8.6,750 reviews,https://www.booking.com//hotel/fr/le-claridge-champs-elysees-by-fraser-serviced-residences.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
658,Citadines Saint-Germain-des-Prés Paris,"6th arr., Paris","2,600 feet",8.9,436 reviews,https://www.booking.com//hotel/fr/citadines-aparthotel-saint-germain-des-pres.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
659,Montorgueil Charming Place,"1st arr., Paris","2,950 feet",8.2,392 reviews,https://www.booking.com//hotel/fr/montorgueil-charming-place.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
660,Hotel London,"9th arr., Paris",1.3 miles,7.6,"1,091 reviews",https://www.booking.com//hotel/fr/london.html?from=searchresults;#hotelTmpl
661,Suite JOHN,"12th arr., Paris",2.3 miles,7.5,"1,049 reviews",https://www.booking.com//hotel/fr/suite-john.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
662,Avia Hôtel Saphir Montparnasse,"15th arr., Paris",2 miles,7.9,805 reviews,https://www.booking.com//hotel/fr/avia-ha-tel.html?from=searchresults;#hotelTmpl
663,Le Tsuba Hotel,"17th arr., Paris",3 miles,9.0,6 reviews,https://www.booking.com//hotel/fr/le-tsuba.html?from=searchresults;#hotelTmpl
664,Best Western Premier Kapital Opéra,"8th arr., Paris",2.1 miles,9.0,"2,863 reviews",https://www.booking.com//hotel/fr/best-western-premier-kapital-opera-paris2.html?from=searchresults;#hotelTmpl
665,Aparthotel Adagio Paris Centre Tour Eiffel,"15th arr., Paris",3 miles,7.3,"1,732 reviews",https://www.booking.com//hotel/fr/pierre-vacacnces-city-paris-tour-eiffel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
666,Aparthotel Adagio Paris Buttes Chaumont,"19th arr., Paris",2.2 miles,9.5,242 reviews,https://www.booking.com//hotel/fr/pvbutteschaumont.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
667,Hôtel Beauchamps,"8th arr., Paris",2.2 miles,8.6,"1,028 reviews",https://www.booking.com//hotel/fr/beauchamps.html?from=searchresults;#hotelTmpl
668,Hôtel Montecristo,"5th arr., Paris",1.3 miles,7.4,45 reviews,https://www.booking.com//hotel/fr/montecristo-paris.html?from=searchresults;#hotelTmpl
669,Villa Margaux Opéra Montmartre,"9th arr., Paris",1.8 miles,8.9,8 reviews,https://www.booking.com//hotel/fr/hotelparishotel.html?from=searchresults;#hotelTmpl
670,InterContinental Paris Le Grand,"9th arr., Paris",1.4 miles,8.9,529 reviews,https://www.booking.com//hotel/fr/intercontinental-paris-le-grand.html?from=searchresults;#hotelTmpl
671,Paris-Oasis,"18th arr., Paris",2.1 miles,8.2,50 reviews,https://www.booking.com//hotel/fr/paris-oasis.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
672,Relais Du Louvre,"1st arr., Paris","2,800 feet",8.6,310 reviews,https://www.booking.com//hotel/fr/relaisdulouvre.html?from=searchresults;#hotelTmpl
673,Chambiges Elysées,"8th arr., Paris",2.3 miles,7.6,"1,136 reviews",https://www.booking.com//hotel/fr/chambigeselysees.html?from=searchresults;#hotelTmpl
674,Hôtel Du Midi Paris Montparnasse,"14th arr., Paris",1.9 miles,7.4,299 reviews,https://www.booking.com//hotel/fr/du-midi-paris.html?from=searchresults;#hotelTmpl
675,Résidence du Cygne - Swan Residence - Paris centre,"1st arr., Paris","2,600 feet",9.4,800 reviews,https://www.booking.com//hotel/fr/residence-du-cygne-swan-residence-paris-centre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
676,Saint James Albany Paris Hotel Spa,"1st arr., Paris",1.1 miles,8.4,"1,255 reviews",https://www.booking.com//hotel/fr/clarionstjames.html?from=searchresults;#hotelTmpl
677,Apartment Claridge,"8th arr., Paris",2.4 miles,7.8,154 reviews,https://www.booking.com//hotel/fr/apartment-claridge.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
678,AMHotel Italie,"13th arr., Paris",2.2 miles,8.4,"2,040 reviews",https://www.booking.com//hotel/fr/am.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
679,Hôtel Bedford,"8th arr., Paris",1.7 miles,9.1,96 reviews,https://www.booking.com//hotel/fr/bedford.html?from=searchresults;#hotelTmpl
680,Private Apartment - Louvre - Saint Honoré,"1st arr., Paris",1.1 miles,7.6,705 reviews,https://www.booking.com//hotel/fr/private-apartment-louvre-saint-honore.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
681,Hotel Luxembourg Parc,"6th arr., Paris",0.9 miles,9.0,798 reviews,https://www.booking.com//hotel/fr/luxembourg-parc.html?from=searchresults;#hotelTmpl
682,La Planque Hotel,"10th arr., Paris",1.4 miles,8.2,995 reviews,https://www.booking.com//hotel/fr/la-planque-paris.html?from=searchresults;#hotelTmpl
683,Hôtel Volney Opéra,"2nd arr., Paris",1.3 miles,7.3,"1,554 reviews",https://www.booking.com//hotel/fr/ha-tel-volney-opa-c-ra.html?from=searchresults;#hotelTmpl
684,Hotel OHM by Happyculture,"16th arr., Paris",3.7 miles,8.5,971 reviews,https://www.booking.com//hotel/fr/hotel-ohm-by-happyculture.html?from=searchresults;#hotelTmpl
685,Hôtel de France Quartier Latin,"5th arr., Paris",1.2 miles,8.6,"1,039 reviews",https://www.booking.com//hotel/fr/de-france-quartier-latin.html?from=searchresults;#hotelTmpl
686,Queens Hotel,"16th arr., Paris",3.7 miles,7.3,"1,144 reviews",https://www.booking.com//hotel/fr/queens.html?from=searchresults;#hotelTmpl
687,Notre-Dame luxury Suite in Saint-germain des prés Latin quarter,"5th arr., Paris",0.8 miles,8.4,462 reviews,https://www.booking.com//hotel/fr/notre-dame-luxury-suite-in-saint-germain-des-pres-latin-quarter.html?from=searchresults;#hotelTmpl
688,Hotel Louvre Bons Enfants,"1st arr., Paris",0.7 miles,8.1,88 reviews,https://www.booking.com//hotel/fr/louvre-boons-enfants.html?from=searchresults;#hotelTmpl
689,Hôtel Du Lion,"14th arr., Paris",1.9 miles,7.4,"1,928 reviews",https://www.booking.com//hotel/fr/du-lion.html?from=searchresults;#hotelTmpl
690,Apartement Trocadero Victor Hugo Etoile,"16th arr., Paris",3.1 miles,8.6,300 reviews,https://www.booking.com//hotel/fr/luxe-apartement-trocadero-47-victor-hugo-47-etoile.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
691,Hôtel Regent's Garden - Astotel,"17th arr., Paris",3.1 miles,7.9,40 reviews,https://www.booking.com//hotel/fr/premierregentsgarden.html?from=searchresults;#hotelTmpl
692,Solar Hotel,"14th arr., Paris",1.9 miles,7.9,189 reviews,https://www.booking.com//hotel/fr/solar.html?from=searchresults;#hotelTmpl
693,Hotel du Nord et de l'Est,"11th arr., Paris",1 miles,7.4,372 reviews,https://www.booking.com//hotel/fr/sas-du-nord-et-de-l-est.html?from=searchresults;#hotelTmpl
694,Appart’City Confort Paris Grande Bibliothèque,"13th arr., Paris",2.4 miles,8.2,"1,708 reviews",https://www.booking.com//hotel/fr/home-business-grande-bibliotheque.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
695,Best Western Ronceray Opéra,"9th arr., Paris",1.1 miles,9.0,122 reviews,https://www.booking.com//hotel/fr/paris-ronceray-opera.html?from=searchresults;#hotelTmpl
696,Loft Greneta,"3rd arr., Paris",0.6 miles,9.2,28 reviews,https://www.booking.com//hotel/fr/loft-greneta.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
697,Okko Hotels Paris Porte De Versailles,"15th arr., Paris",3.7 miles,7.9,"3,481 reviews",https://www.booking.com//hotel/fr/okko-hotels-paris-porte-de-versailles.html?from=searchresults;#hotelTmpl
698,Hotel Migny Opéra Montmartre,"9th arr., Paris",1.8 miles,7.6,"1,059 reviews",https://www.booking.com//hotel/fr/hoteligny.html?from=searchresults;#hotelTmpl
699,Fauchon l'Hotel,"8th arr., Paris",1.6 miles,8.3,192 reviews,https://www.booking.com//hotel/fr/fauchon-l-39.html?from=searchresults;#hotelTmpl
700,Madrigal,"15th arr., Paris",2.1 miles,7.6,548 reviews,https://www.booking.com//hotel/fr/hotelinnova.html?from=searchresults;#hotelTmpl
701,44-COSY FLAT MONTORGUEIL (2CHENIER),"2nd arr., Paris",0.9 miles,9.0,340 reviews,https://www.booking.com//hotel/fr/44-cosy-flat-montorgueil-2chenier.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
702,SUITE LILY ROSE,"2nd arr., Paris",0.7 miles,7.3,"1,694 reviews",https://www.booking.com//hotel/fr/115-boulevard-de-sebastopol.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
703,Hotel Zora,"2nd arr., Paris",0.7 miles,7.6,"1,549 reviews",https://www.booking.com//hotel/fr/zora.html?from=searchresults;#hotelTmpl
704,Familly Apartment,"5th arr., Paris",1.4 miles,9.4,300 reviews,https://www.booking.com//hotel/fr/appartement-de-luxe-mouffetard.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
705,La Maison Champs Elysées,"8th arr., Paris",2.1 miles,7.8,"1,609 reviews",https://www.booking.com//hotel/fr/champs-elysees-paris.html?from=searchresults;#hotelTmpl
706,Les Hauts de Passy - Trocadero Eiffel,"16th arr., Paris",3.1 miles,6.8,44 reviews,https://www.booking.com//hotel/fr/hotelleshautsdepassytrocaderoeiffel.html?from=searchresults;#hotelTmpl
707,Victoires Opera,"2nd arr., Paris",0.6 miles,7.6,"1,419 reviews",https://www.booking.com//hotel/fr/victoiresopera.html?from=searchresults;#hotelTmpl
708,Hôtel Le Relais des Halles,"1st arr., Paris","2,450 feet",8.6,26 reviews,https://www.booking.com//hotel/fr/ha-tel-le-relais-des-halles-paris.html?from=searchresults;#hotelTmpl
709,Residence Du Roy,"8th arr., Paris",2.1 miles,7.3,28 reviews,https://www.booking.com//hotel/fr/residence-du-roy.html?from=searchresults;#hotelTmpl
710,Sweet Inn -Saint Germain,"6th arr., Paris",0.7 miles,7.7,"1,918 reviews",https://www.booking.com//hotel/fr/sweet-inn-apartments-saint-germain.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
711,Hôtel Saint-Charles,"13th arr., Paris",2.1 miles,8.7,38 reviews,https://www.booking.com//hotel/fr/saint-charles-paris.html?from=searchresults;#hotelTmpl
712,Appartement Petits Champs II,"1st arr., Paris",0.7 miles,8.9,16 reviews,https://www.booking.com//hotel/fr/appartement-petits-champs-ii.html?from=searchresults;#hotelTmpl
713,Golden Hotel Paris,"9th arr., Paris",1.4 miles,6.8,92 reviews,https://www.booking.com//hotel/fr/riboutte-lafayette.html?from=searchresults;#hotelTmpl
714,La Villa Haussmann,"8th arr., Paris",2.1 miles,7.8,975 reviews,https://www.booking.com//hotel/fr/la-villa-haussmann.html?from=searchresults;#hotelTmpl
715,Hôtel Lodge du Centre,"9th arr., Paris",1.2 miles,7.3,"1,288 reviews",https://www.booking.com//hotel/fr/centre.html?from=searchresults;#hotelTmpl
716,Aparthotel Adagio Porte de Versailles,Paris,3.1 miles,8.2,"1,388 reviews",https://www.booking.com//hotel/fr/portedeversaille.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
717,Best Western Premier Marais Grands Boulevards,"3rd arr., Paris",0.9 miles,6.9,"1,389 reviews",https://www.booking.com//hotel/fr/bestwesternfranceeurope.html?from=searchresults;#hotelTmpl
